"縣市","","遊憩據點","","108年7月","108年8月","108年9月","108年10月","108年11月","108年12月","109年1月","109年2月","109年3月","109年4月","109年5月","109年6月","109年7月","109年8月","109年9月","109年10月","109年11月","109年12月","110年1月","110年2月","110年3月","110年4月","110年5月","110年6月","110年7月","110年8月","110年9月","110年10月","110年11月","110年12月","111年1月","111年2月","111年3月","111年4月","111年5月","111年6月","111年7月","111年8月","111年9月","111年10月","111年11月","111年12月","112年1月","112年2月","112年3月","112年4月","112年5月","112年6月","112年7月","112年8月","112年9月","112年10月","112年11月","112年12月","113年1月","113年2月","113年3月","113年4月","113年5月","113年6月","113年7月","小計"
"金門縣","Kinmen County","翟山坑道","Jhaishan Tunnel","56656","45779","30788","46869","44988","33311","16779","5030","3351","1836","6157","21402","45364","57693","49175","51366","29918","22059","19949","15142","25192","31365","19215","0","127","2000","5106","13026","19619","21644","15840","13753","16435","24331","14649","19683","33548","43725","32928","35206","29882","22843","12427","17948","20660","29188","29088","28370","26311","24319","20063","27618","23087","15318","12474","10062","14510","17444","22582","23733","25701","1444632"
"金門縣","Kinmen County","雙鯉溼地自然中心","Shuangli Welands Nature Center","15717","11487","13449","12040","0","0","5640","1988","1097","829","2129","6658","14440","16646","13318","13872","8045","4255","3233","2538","3407","5227","3388","0","8","389","689","1859","3109","2816","1773","1863","1859","1968","1504","1963","3555","3750","3358","4291","3365","2526","1764","2192","3032","3057","3741","3570","3782","3732","2676","3615","3544","2301","1817","1912","2575","2982","3390","4121","4018","257869"
"金門縣","Kinmen County","九宮(四維)坑道","Jiougong(Sih-Wei)Tunnel","15498","9962","15860","24413","19631","15430","5846","2467","1419","741","1536","9639","23529","29239","28584","34569","17687","16430","8119","7668","10606","15782","9972","0","11","590","1793","4031","7808","7476","5212","4955","7180","13122","8279","9445","16774","22004","17260","24767","20368","16147","9885","11454","13629","19748","19809","17657","19337","15902","14518","20306","14738","8617","5966","5666","9560","12050","15021","15553","16901","778166"
"金門縣","Kinmen County","湖井頭戰史館","Hujingtou Battle Museum","16077","10069","16500","25538","20765","16214","6291","2504","1495","831","2531","10426","24428","30882","30482","36059","18030","11943","8300","8064","11004","17083","10747","0","0","0","0","3299","11697","11675","7734","7252","9148","13847","7792","9140","17146","15484","10694","0","0","0","11264","10651","12588","16649","16473","14018","16192","13891","12265","15355","13138","8232","6347","6047","8103","9879","13146","13961","13166","692536"
"金門縣","Kinmen County","金水學校","Jinshuei Elementary School","13604","10504","9241","12757","10721","7562","5521","2351","1556","1012","2298","5393","9444","10744","8936","12592","8869","5645","6236","5029","6401","7236","4659","0","46","766","1718","4611","6724","6040","5175","4525","5313","7507","4204","4933","8164","10528","8834","10294","8295","4981","3756","5365","4841","8500","8365","8438","7761","6174","5727","8784","7081","4820","3432","3589","4512","4768","5848","5627","6093","384450"
"金門縣","Kinmen County","蔣經國先生紀念館","Chiang Ching-Kuo Memorial Hall","20626","19766","10431","15655","14751","13786","6007","2891","2354","634","937","4010","8487","9781","8692","9620","6513","4909","3631","2395","4887","5267","2722","0","15","241","556","1503","4317","3989","3624","2417","3751","4688","2782","3955","5774","7316","5787","6954","5421","6115","4590","4427","4868","6767","6670","5615","6984","7186","5780","7118","6568","5551","4788","3853","4931","5561","5408","5549","6369","356540"
"金門縣","Kinmen County","莒光樓","Juguang Tower","48576","42461","32083","44252","42174","33597","15834","5672","4840","1804","4784","19304","38359","38180","44898","48313","28262","19290","18150","12780","21858","26894","14999","0","111","1699","3978","9827","20583","20144","14228","11410","12501","0","0","0","0","0","0","0","24451","19600","10572","15204","18141","24879","24211","24098","23507","22916","21009","28975","23338","15508","11557","10213","17314","17716","22953","20517","20970","1119494"
"金門縣","Kinmen County","民俗文化村","Shanhou Folk Cultural Village","31012","25449","24656","40711","35435","30464","18856","6627","4012","2599","5250","17076","32909","42236","40039","45109","26934","20216","18346","14606","20184","26720","14724","0","0","0","0","0","18012","21750","15730","13089","14388","18772","11334","17510","23606","28080","24750","30363","24355","20323","13679","13777","17819","22687","23052","20036","17680","16880","16601","24437","17053","12017","9236","7867","10317","13492","15385","15108","15471","1128826"
"金門縣","Kinmen County","得月樓","Deyue Tower","15189","12187","11923","14746","12535","8297","6568","2670","1850","1231","2751","6958","10063","12446","13059","18776","12194","7722","8239","7606","9613","11178","7179","0","44","983","2303","6308","9124","7480","6939","6002","6968","10206","5594","6479","10783","12704","12025","14194","11815","7851","6156","7591","7080","11437","10943","10874","11121","9672","8411","13588","10799","7077","5372","4831","6484","7271","8704","8020","8883","517096"
"金門縣","Kinmen County","獅山砲陣地","Shishan (Mt. Lion) Howitzer Front","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7505","6240","9101","11145","14694","14432","16270","79387"
"金門縣","Kinmen County","建功嶼","Jiangong Islet","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9568","3725","3895","4660","7140","8080","6830","43898"
"連江縣","Lienchiang County","東引遊客中心","Dongyin Visitor Center","2228","1861","2860","1652","657","341","428","342","213","490","1427","3001","4643","4922","4532","1532","393","114","101","282","877","5447","3096","0","19","315","985","1054","943","287","138","276","1060","3161","2983","3205","3594","4421","2715","1362","620","289","413","337","1176","4415","4467","4565","3136","2402","2353","867","511","210","189","253","984","3031","3772","3082","3321","108350"
"連江縣","Lienchiang County","莒光遊客中心","Juguang Visitor Center","4218","2036","2474","2809","1367","1109","268","276","239","647","1744","4637","6028","5931","5538","5674","1877","482","277","663","1594","6000","4626","0","88","545","1193","1665","1465","537","453","1062","1502","4885","5557","5471","5676","4704","4959","3060","999","512","751","648","1450","4784","6632","6474","3821","2906","2713","2667","787","319","197","270","1186","2773","4579","3692","3077","154573"
"連江縣","Lienchiang County","北竿遊客中心","Beigan Visitor Center","9298","6421","7546","8862","7069","5613","1905","1336","1284","1418","2854","9894","13730","14180","14479","13915","8052","3479","2734","1733","3845","9712","5733","0","37","572","944","2128","3417","2986","2268","1319","2405","7665","6466","6264","10898","11222","7427","6968","3989","3040","1755","2286","3325","7538","9222","11441","9569","7268","5042","3843","3015","2061","1480","1183","2464","4096","6656","6543","7503","331397"
"連江縣","Lienchiang County","南竿遊客中心","Nangan Visitor Center","10797","6472","5104","5374","4177","3801","1321","596","652","1181","2159","7631","9372","9281","7778","7396","4252","1924","1450","1240","1800","3741","3076","0","162","886","1403","1735","1848","1890","1349","1262","1656","3172","3353","4132","13371","12336","6274","4238","2699","1796","1652","1182","2938","6810","8063","8868","11421","7624","5061","4849","2461","1951","1229","1174","2303","3569","5246","4873","5981","251392"
